Biot,Thermal Expansion of Solid,Thermal Expansion Difference,Bulk Modulus,Skempton,Shear Modulus,Poisson Ratio,Thermal Filtration,Thermal Osmosis,Thermal Conductivity,Permeability,Specific Heat,Fluid Diffusivity,Thermal Diffusivity,Fluid Thermal Diffusivity,Thermal Fluid  Diffusivity,Diagnal Ratio,Off Diagnal Ratio,Case
0.61514,0.00072181,0.00066819,1.25E+10,0.68841,2.01E+10,0.22075,-6.76E-09,-1.49E-20,148.55,7.80E-17,1.22E+06,0.00016589,0.00012376,2618.7,1.43E-13,0.74609,5.47E-17,1
0.65689,0.00069584,0.00069416,1.35E+10,0.76959,1.69E+10,0.25094,-2.84E-09,-1.23E-20,103.6,1.32E-17,6.14E+06,3.35E-05,1.69E-05,439.4,6.07E-15,0.50619,1.38E-17,1
0.68215,0.00060235,0.00078765,1.27E+10,0.69221,1.80E+10,0.27456,-8.91E-09,-3.77E-21,146.54,4.46E-17,4.77E+06,9.17E-05,3.09E-05,699.95,2.32E-14,0.33676,3.31E-17,1
0.70516,0.001253,0.00013701,9.53E+09,0.78989,1.96E+10,0.23357,-2.47E-09,-5.45E-21,180.51,4.61E-17,5.95E+06,9.18E-05,3.04E-05,526.44,1.39E-14,0.33111,2.63E-17,1
0.7015,0.00099986,0.00039014,1.04E+10,0.69165,1.60E+10,0.2871,-6.74E-09,-1.42E-20,76.585,2.72E-17,8.31E+06,4.60E-05,9.23E-06,149.03,6.10E-15,0.20053,4.09E-17,1
0.86719,0.00071681,0.00067319,1.21E+10,0.89615,1.90E+10,0.26328,-5.22E-09,-9.34E-21,24.557,3.95E-17,3.96E+06,0.00013068,6.28E-06,239.57,3.99E-14,0.048027,1.66E-16,1
0.78995,0.00066954,0.00072046,8.51E+09,0.61671,1.73E+10,0.29104,-9.24E-09,-9.85E-21,104.64,1.31E-17,5.95E+06,1.49E-05,1.76E-05,235.44,4.49E-15,1.183,1.91E-17,1
0.92068,0.00088539,0.00050461,9.54E+09,0.67714,2.34E+10,0.28696,-2.41E-09,-6.66E-21,21.825,4.18E-17,6.30E+06,6.50E-05,3.47E-06,65.779,1.30E-14,0.053429,1.97E-16,0
0.89364,0.00091137,0.00047863,1.55E+10,0.59128,2.00E+10,0.29078,-5.83E-09,-1.57E-20,189.36,9.76E-17,9.20E+05,0.00017276,0.00021006,4018.2,2.14E-13,1.2159,5.32E-17,1
0.94776,0.0013616,2.84E-05,1.07E+10,0.88877,2.38E+10,0.27323,-2.35E-09,-8.94E-21,154.12,9.54E-17,2.30E+06,0.00035338,6.82E-05,2819.6,1.75E-13,0.193,6.22E-17,1
0.8247,0.00075878,0.00063122,1.08E+10,0.74907,2.20E+10,0.25971,-4.27E-09,-1.94E-20,199.75,1.00E-16,2.66E+06,0.00020678,7.58E-05,1795.6,9.15E-14,0.36663,5.09E-17,1
0.79364,0.0013132,7.68E-05,8.73E+09,0.82781,2.25E+10,0.28483,-3.97E-09,-1.31E-20,2.5359,1.69E-17,9.58E+05,3.76E-05,2.70E-06,58.551,4.32E-14,0.071906,7.39E-16,0
0.56502,0.00059472,0.00079528,1.19E+10,0.69263,2.35E+10,0.30406,-7.11E-09,-1.93E-20,27.481,7.64E-17,7.92E+06,0.0001688,3.48E-06,83.025,2.40E-14,0.02061,2.89E-16,0
0.71108,0.00045145,0.00093855,1.34E+10,0.75237,2.05E+10,0.29853,-9.10E-09,-1.57E-20,94.179,1.25E-17,9.90E+06,3.14E-05,9.55E-06,287.29,4.73E-15,0.3037,1.65E-17,1
0.84329,0.00057621,0.00081379,1.40E+10,0.95705,1.66E+10,0.25761,-2.06E-09,-8.03E-21,35.903,5.16E-17,6.39E+06,0.00019923,5.66E-06,252.73,3.67E-14,0.028412,1.45E-16,1
0.70938,0.0013226,6.74E-05,9.74E+09,0.90378,1.68E+10,0.26622,-4.14E-09,-1.21E-20,116.33,4.14E-17,9.50E+05,0.00010983,0.00012433,2686.8,1.00E-13,1.132,3.73E-17,1
0.8611,0.00041937,0.00097063,9.98E+09,0.91351,2.19E+10,0.29485,-9.60E-09,-1.36E-20,174.78,6.56E-17,3.67E+06,0.00022212,4.83E-05,2066.9,8.02E-14,0.21747,3.88E-17,1
0.69143,0.0005191,0.0008709,9.13E+09,0.91367,2.13E+10,0.25916,-2.94E-09,-3.28E-21,73.062,9.75E-17,7.54E+06,0.00025898,9.74E-06,303.63,4.09E-14,0.037602,1.35E-16,1
0.71269,0.0013692,2.08E-05,1.10E+10,0.80671,2.20E+10,0.3042,-6.63E-09,-6.45E-21,44.915,8.18E-17,8.65E+05,0.00020554,5.29E-05,1117.8,2.11E-13,0.25719,1.89E-16,1
0.72511,0.0007665,0.0006235,1.54E+10,0.70954,1.87E+10,0.31089,-1.66E-09,-1.35E-20,184.67,3.95E-17,2.01E+06,0.00010023,9.32E-05,2458.1,5.34E-14,0.93016,2.17E-17,1
0.64399,0.00079228,0.00059772,1.34E+10,0.8491,1.97E+10,0.28131,-9.29E-09,-1.09E-20,47.94,9.78E-17,6.83E+05,0.0003202,7.34E-05,2294.7,4.83E-13,0.22923,2.10E-16,1
0.5943,0.00071454,0.00067546,1.43E+10,0.58935,1.69E+10,0.29282,-6.30E-09,-1.71E-20,50.419,3.30E-17,3.87E+06,6.40E-05,1.31E-05,251.2,1.81E-14,0.20454,7.20E-17,1
0.73447,0.00074953,0.00064047,1.15E+10,0.96497,1.95E+10,0.31494,-9.42E-09,-4.31E-21,7.2443,7.75E-17,1.54E+05,0.0004149,6.63E-05,2738.5,3.02E-12,0.15976,1.10E-15,1
0.62424,0.00073213,0.00065787,1.51E+10,0.617,1.59E+10,0.27289,-2.52E-09,-1.08E-20,85.586,9.46E-17,5.99E+06,0.0001943,1.43E-05,287.3,3.22E-14,0.073781,1.12E-16,0
0.92117,0.00083991,0.00055009,1.14E+10,0.82296,2.23E+10,0.26678,-1.60E-09,-6.17E-21,110.07,3.96E-17,1.15E+06,0.00011449,9.87E-05,3297,1.20E-13,0.8621,3.64E-17,1
0.60795,0.0011135,0.00027646,1.21E+10,0.81597,2.24E+10,0.27471,-4.67E-09,-2.81E-21,22.671,8.57E-17,4.14E+06,0.00023741,5.50E-06,127.46,4.93E-14,0.023178,3.87E-16,0
0.7959,0.00056495,0.00082505,8.36E+09,0.95851,1.87E+10,0.23833,-6.64E-09,-9.68E-21,127.85,4.52E-17,5.12E+06,0.00012954,2.52E-05,862.34,3.18E-14,0.19451,3.69E-17,1
0.7233,0.00092828,0.00046172,1.46E+10,0.79228,2.36E+10,0.23087,-3.48E-09,-1.99E-20,193.05,9.42E-17,8.06E+06,0.00027466,2.40E-05,689.54,3.41E-14,0.087482,4.94E-17,1
0.79407,0.0011725,0.00021748,1.15E+10,0.79287,2.01E+10,0.2556,-6.18E-09,-1.19E-20,61.056,8.52E-17,5.76E+06,0.00020144,1.06E-05,243.81,3.51E-14,0.052809,1.44E-16,0
0.55034,0.0013469,4.31E-05,1.03E+10,0.77498,1.76E+10,0.28674,-2.42E-09,-1.59E-20,182.27,5.64E-17,7.69E+06,0.00012644,2.37E-05,347.37,1.11E-14,0.18756,3.19E-17,1
0.62747,0.00040672,0.00098328,1.40E+10,0.95826,1.65E+10,0.30122,-7.84E-09,-8.62E-21,127.37,4.34E-17,2.19E+06,0.00017554,5.98E-05,2769.9,9.81E-14,0.34041,3.54E-17,1
0.8418,0.00063089,0.00075911,1.21E+10,0.91559,1.90E+10,0.22896,-9.71E-09,-2.87E-21,5.599,1.90E-18,4.82E+06,6.32E-06,1.17E-06,44.848,3.55E-15,0.18543,7.92E-17,1
0.92173,0.0011171,0.00027292,9.20E+09,0.79417,2.28E+10,0.24408,-6.40E-09,-1.92E-20,114.11,1.13E-17,4.53E+06,2.46E-05,2.53E-05,634.17,7.71E-15,1.0317,1.22E-17,1
0.74084,0.00069538,0.00069462,1.02E+10,0.72568,1.92E+10,0.28877,-7.20E-09,-1.15E-20,90.263,7.40E-17,4.29E+06,0.00013567,2.11E-05,435.25,3.74E-14,0.15588,8.58E-17,1
0.7392,0.0012977,9.23E-05,1.58E+10,0.86071,1.90E+10,0.2249,-7.42E-09,-3.22E-21,46.784,2.38E-17,1.96E+06,8.03E-05,2.40E-05,613.99,3.51E-14,0.29906,5.72E-17,1
0.57326,0.0011065,0.00028355,8.56E+09,0.63431,1.28E+10,0.2482,-6.22E-09,-7.55E-21,155.67,9.85E-17,2.61E+05,0.00013419,0.00061002,6240.7,4.19E-13,4.5461,6.72E-17,1
0.90381,0.0011021,0.00028789,8.61E+09,0.58699,2.06E+10,0.22333,-1.44E-09,-1.88E-20,104.31,7.79E-17,5.84E+06,7.97E-05,1.79E-05,207.24,1.57E-14,0.22457,7.59E-17,1
0.75038,0.00090239,0.00048761,9.97E+09,0.86758,1.99E+10,0.31843,-2.16E-09,-1.97E-20,91.245,9.86E-17,4.01E+06,0.00026266,2.29E-05,651.64,7.09E-14,0.087315,1.09E-16,1
0.61894,0.0012421,0.00014789,1.42E+10,0.92649,1.70E+10,0.23525,-5.86E-09,-1.19E-20,191.39,5.85E-17,6.61E+06,0.00021024,2.90E-05,722.68,2.30E-14,0.13795,3.18E-17,1
0.5647,0.00068776,0.00070224,1.58E+10,0.62471,1.63E+10,0.24106,-2.05E-09,-1.28E-20,110.52,4.80E-17,1.20E+06,0.0001117,9.34E-05,2053.8,9.10E-14,0.83644,4.43E-17,1
0.66982,0.0013551,3.49E-05,1.46E+10,0.60237,2.07E+10,0.31263,-6.51E-09,-6.25E-21,27.786,4.66E-17,7.80E+06,9.09E-05,3.56E-06,53.28,9.77E-15,0.039212,1.83E-16,0
0.92289,0.0012709,0.00011905,1.47E+10,0.91929,2.24E+10,0.27761,-5.52E-09,-6.93E-21,58.893,6.69E-17,9.32E+06,0.00030558,6.35E-06,304.16,3.52E-14,0.020775,1.16E-16,0
0.79415,0.0012291,0.00016091,1.43E+10,0.86508,1.77E+10,0.28471,-6.85E-09,-1.79E-20,50.712,4.17E-17,4.83E+06,0.00013604,1.05E-05,308.13,2.68E-14,0.077516,8.68E-17,1
0.87791,0.00066683,0.00072317,9.99E+09,0.62969,2.26E+10,0.27116,-1.84E-09,-2.77E-21,52.884,7.24E-17,4.02E+06,9.96E-05,1.32E-05,221.73,3.08E-14,0.13265,1.39E-16,1
0.7995,0.0011174,0.00027258,1.13E+10,0.75855,1.71E+10,0.22206,-4.32E-09,-4.54E-21,10.139,4.92E-17,2.19E+06,9.90E-05,4.67E-06,89.162,4.52E-14,0.047188,5.07E-16,0
0.88699,0.00058437,0.00080563,1.18E+10,0.59234,1.37E+10,0.22558,-8.66E-09,-1.94E-20,176.72,7.75E-19,8.34E+06,9.78E-07,2.12E-05,306.6,1.17E-15,21.704,3.83E-18,1
0.7037,0.0011272,0.00026284,1.52E+10,0.86459,1.66E+10,0.24018,-7.51E-09,-8.89E-21,130.1,2.75E-17,7.82E+05,9.09E-05,0.00016969,4399.5,1.03E-13,1.8674,2.34E-17,1
0.69491,0.00057707,0.00081293,1.14E+10,0.79451,1.51E+10,0.27639,-7.27E-09,-8.11E-21,102.62,1.03E-17,6.48E+06,2.35E-05,1.59E-05,402.14,5.18E-15,0.67763,1.29E-17,1
0.57293,0.00098455,0.00040545,1.22E+10,0.82083,2.20E+10,0.25246,-2.03E-09,-3.09E-21,54.171,8.63E-17,6.70E+06,0.00024567,8.11E-06,199.29,3.21E-14,0.033013,1.61E-16,0
0.94419,0.0011138,0.00027624,9.58E+09,0.86814,1.76E+10,0.26921,-9.34E-09,-8.10E-21,187.19,1.06E-17,4.42E+06,2.93E-05,4.27E-05,1342,9.73E-15,1.4564,7.25E-18,1
0.91043,0.0013142,7.58E-05,1.32E+10,0.92776,2.08E+10,0.31261,-8.09E-09,-1.76E-20,113.5,7.50E-17,5.46E+06,0.00033745,2.10E-05,995.05,6.73E-14,0.062131,6.76E-17,1
0.87149,0.00048154,0.00090846,1.16E+10,0.68947,2.05E+10,0.30837,-3.63E-09,-1.47E-20,171.25,5.93E-17,2.33E+05,0.00012694,0.00083986,19758,7.01E-13,6.6162,3.55E-17,1
0.94591,0.0010005,0.00038946,1.15E+10,0.7986,2.34E+10,0.24551,-1.23E-09,-1.25E-20,21.757,6.98E-17,4.59E+05,0.00019933,5.12E-05,1586.5,5.12E-13,0.25694,3.23E-16,1
0.61283,0.0012892,0.00010081,1.34E+10,0.74423,1.65E+10,0.31778,-7.86E-09,-4.92E-21,165.8,5.34E-17,7.58E+06,0.00013557,2.19E-05,399.04,1.39E-14,0.16144,3.48E-17,1
0.71313,0.00063974,0.00075026,8.37E+09,0.72703,1.85E+10,0.28702,-5.56E-09,-1.51E-20,88.291,6.39E-18,6.00E+06,9.93E-06,1.48E-05,261.52,2.82E-15,1.4869,1.08E-17,1
0.79212,0.001187,0.00020303,8.49E+09,0.63379,1.22E+10,0.25049,-8.91E-09,-8.39E-21,16.264,5.30E-17,4.79E+06,5.87E-05,3.40E-06,34.82,1.32E-14,0.057973,3.79E-16,0
0.59929,0.0013247,6.53E-05,1.39E+10,0.67351,1.42E+10,0.22903,-9.24E-09,-7.47E-21,115.39,6.50E-17,4.07E+06,0.000138,2.83E-05,352.61,2.21E-14,0.20532,6.28E-17,1
0.76084,0.00047044,0.00091956,1.24E+10,0.65048,1.35E+10,0.30029,-4.66E-09,-1.49E-20,105.33,3.91E-17,3.53E+06,6.59E-05,3.01E-05,595.18,2.34E-14,0.45622,3.93E-17,1
0.87276,0.00050651,0.00088349,1.22E+10,0.89978,1.90E+10,0.25365,-4.05E-09,-1.65E-20,110.86,8.64E-17,3.36E+06,0.00028855,3.35E-05,1359,1.07E-13,0.11615,7.88E-17,1
0.91831,0.0013264,6.36E-05,8.76E+09,0.78901,1.96E+10,0.31319,-3.60E-09,-4.18E-21,37.716,5.92E-17,9.55E+06,0.00012301,3.96E-06,93.013,1.50E-14,0.032203,1.61E-16,0
0.94981,0.00068678,0.00070322,1.47E+10,0.95873,2.21E+10,0.2354,-3.18E-09,-1.95E-20,152.14,8.40E-17,1.61E+06,0.00043679,9.86E-05,5898,3.28E-13,0.22565,5.56E-17,1
0.80691,0.0010663,0.00032369,1.42E+10,0.58474,1.64E+10,0.28821,-6.20E-09,-1.92E-20,77.494,6.96E-17,1.76E+05,0.00012092,0.00046855,7150.9,6.80E-13,3.8749,9.51E-17,1
0.8247,0.00056895,0.00082105,1.50E+10,0.82287,1.77E+10,0.24541,-6.37E-09,-6.83E-21,110.71,6.96E-17,5.71E+06,0.00020378,1.95E-05,656.33,4.24E-14,0.095851,6.46E-17,1
0.74192,0.00059532,0.00079468,1.06E+10,0.93675,1.98E+10,0.22996,-4.25E-09,-1.76E-20,49.04,4.18E-17,3.88E+06,0.00012965,1.28E-05,451.41,3.96E-14,0.098453,8.78E-17,1
0.70589,0.0012716,0.00011843,1.10E+10,0.8205,1.89E+10,0.26806,-3.39E-09,-1.42E-20,104.89,8.14E-18,3.78E+06,1.98E-05,2.79E-05,573.63,5.35E-15,1.4069,9.33E-18,1
0.88834,0.00077438,0.00061562,1.23E+10,0.62847,1.82E+10,0.31391,-8.60E-09,-6.99E-21,67.09,4.13E-17,2.98E+05,7.22E-05,0.00024167,4561.9,3.12E-13,3.3493,6.84E-17,1
0.60066,0.001317,7.30E-05,9.14E+09,0.97514,1.41E+10,0.25319,-9.43E-09,-9.41E-21,115.95,6.56E-17,5.70E+06,0.00018081,2.04E-05,388.91,2.37E-14,0.11266,6.08E-17,1
0.55757,0.00060792,0.00078208,1.25E+10,0.91397,2.08E+10,0.24995,-6.38E-09,-1.19E-20,27.646,9.70E-17,6.22E+06,0.00033703,4.47E-06,162.59,5.81E-14,0.013266,3.57E-16,0
0.79195,0.00082209,0.00056791,1.00E+10,0.87672,1.49E+10,0.29038,-4.27E-09,-1.29E-20,189.13,5.99E-17,1.69E+06,0.00015248,0.00011397,3104.5,1.01E-13,0.7474,3.25E-17,1
0.9034,0.0012124,0.00017763,1.16E+10,0.60755,1.92E+10,0.2765,-1.87E-09,-1.93E-20,29.843,8.53E-17,4.49E+06,0.00012049,6.66E-06,100.17,2.91E-14,0.055303,2.90E-16,0
